id,Class,Binary_Predicted,Multiclass_Predicted,Ensemble_Predicted
2542.jpg,Yellow,Yellow,Yellow,Yellow
2547.jpg,Yellow,Red,Red,Red
2566.jpg,Yellow,Yellow,Yellow,Yellow
2567.jpg,Yellow,Red,Red,Red
2570.jpg,Purple,Purple,Purple,Purple
2593.jpg,Green,Yellow,Green,Green
2594.jpg,Green,Green,Green,Green
2595.jpg,Green,Green,Green,Green
2599.jpg,Green,Yellow,Purple,Purple
2603.jpg,Yellow,Red,Red,Red
2606.jpg,Green,Green,Green,Green
2682.jpg,Red,Green,Yellow,Green
2683.jpg,Red,Red,Red,Red
2684.jpg,Red,Red,Red,Red
2685.jpg,Red,Red,Red,Red
2686.jpg,Red,Red,Red,Red
2687.jpg,Red,Red,Red,Red
2688.jpg,Red,Red,Red,Red
2689.jpg,Red,Red,Red,Red
2690.jpg,Red,Green,Green,Green
2700.jpg,Green,Green,Green,Green
2717.jpg,Green,Green,Green,Green
2718.jpg,Green,Green,Green,Green
2737.jpg,Yellow,Green,Green,Green
2738.jpg,Yellow,Green,Green,Green
2754.jpg,Green,Green,Green,Green
2755.jpg,Green,Green,Green,Green
2892.jpg,Purple,Yellow,Purple,Purple
2893.jpg,Purple,Green,Green,Green
2894.jpg,Purple,Purple,Red,Red
2895.jpg,Purple,Green,Green,Green
2896.jpg,Purple,Purple,Purple,Purple
2897.jpg,Purple,Green,Green,Green
2898.jpg,Purple,Red,Yellow,Red
2899.jpg,Purple,Purple,Purple,Purple
2900.jpg,Purple,Purple,Purple,Purple
2901.jpg,Purple,Purple,Purple,Purple
2902.jpg,Purple,Purple,Purple,Purple
2903.jpg,Purple,Purple,Purple,Purple
2904.jpg,Purple,Red,Red,Red
2905.jpg,Purple,Yellow,Yellow,Yellow
2906.jpg,Purple,Purple,Purple,Purple
2907.jpg,Purple,Red,Red,Red
2908.jpg,Purple,Purple,Purple,Purple
2994.jpg,Red,Red,Red,Red
2995.jpg,Red,Red,Red,Red
2996.jpg,Red,Red,Red,Red
2997.jpg,Red,Red,Red,Red
2998.jpg,Red,Red,Red,Red
2999.jpg,Red,Red,Red,Red
3000.jpg,Red,Green,Red,Red
3001.jpg,Red,Red,Green,Green
3002.jpg,Red,Red,Red,Red
3003.jpg,Red,Red,Red,Red
3278.jpg,Red,Red,Red,Red
3279.jpg,Red,Red,Red,Red
3280.jpg,Red,Red,Red,Red
3281.jpg,Red,Red,Red,Red
3282.jpg,Red,Red,Red,Red
3283.jpg,Red,Green,Green,Green
3284.jpg,Red,Red,Red,Red
3285.jpg,Red,Red,Red,Red
3286.jpg,Red,Red,Red,Red
3287.jpg,Red,Red,Red,Red
3288.jpg,Red,Red,Red,Red
3289.jpg,Red,Red,Red,Red
3290.jpg,Red,Red,Red,Red
3291.jpg,Red,Red,Red,Red
3292.jpg,Red,Red,Red,Red
3293.jpg,Red,Red,Red,Red
3294.jpg,Red,Red,Red,Red
3295.jpg,Red,Red,Red,Red
3296.jpg,Red,Yellow,Red,Red
3297.jpg,Red,Red,Red,Red
3298.jpg,Red,Red,Red,Red
3329.jpg,Red,Red,Red,Red
3330.jpg,Red,Red,Red,Red
3331.jpg,Red,Red,Red,Red
3332.jpg,Red,Red,Red,Red
3341.jpg,Green,Green,Green,Green
3474.jpg,Red,Red,Red,Red
3475.jpg,Red,Red,Red,Red
3476.jpg,Red,Red,Red,Red
3477.jpg,Red,Red,Red,Red
3478.jpg,Red,Red,Red,Red
3479.jpg,Red,Red,Red,Red
3480.jpg,Red,Red,Red,Red
3481.jpg,Red,Red,Red,Red
3482.jpg,Red,Red,Red,Red
3483.jpg,Red,Red,Red,Red
3484.jpg,Red,Red,Red,Red
3485.jpg,Red,Red,Red,Red
3486.jpg,Red,Red,Red,Red
3487.jpg,Red,Red,Red,Red
3488.jpg,Red,Red,Red,Red
3491.jpg,Green,Yellow,Yellow,Yellow
3505.jpg,Yellow,Yellow,Yellow,Yellow
3506.jpg,Yellow,Yellow,Yellow,Yellow
3586.jpg,Purple,Purple,Purple,Purple
3587.jpg,Purple,Purple,Purple,Purple
3588.jpg,Purple,Purple,Purple,Purple
3589.jpg,Purple,Purple,Purple,Purple
3590.jpg,Purple,Purple,Purple,Purple
3591.jpg,Purple,Purple,Purple,Purple
3592.jpg,Purple,Purple,Purple,Purple
3593.jpg,Purple,Purple,Purple,Purple
3594.jpg,Purple,Purple,Purple,Purple
3595.jpg,Purple,Purple,Purple,Purple
3666.jpg,Yellow,Yellow,Green,Green
3667.jpg,Yellow,Yellow,Yellow,Yellow
3668.jpg,Yellow,Green,Green,Green
3669.jpg,Yellow,Yellow,Yellow,Yellow
3670.jpg,Yellow,Yellow,Yellow,Yellow
3671.jpg,Yellow,Yellow,Green,Green
3672.jpg,Yellow,Yellow,Yellow,Yellow
3673.jpg,Yellow,Yellow,Green,Green
3674.jpg,Yellow,Yellow,Yellow,Yellow
3803.jpg,Yellow,Yellow,Yellow,Yellow
3804.jpg,Yellow,Green,Green,Green
3805.jpg,Yellow,Yellow,Yellow,Yellow
3806.jpg,Yellow,Yellow,Yellow,Yellow
3807.jpg,Yellow,Green,Green,Green
3808.jpg,Yellow,Green,Green,Green
3809.jpg,Yellow,Yellow,Yellow,Yellow
3810.jpg,Yellow,Yellow,Yellow,Yellow
3811.jpg,Yellow,Yellow,Green,Green
3812.jpg,Yellow,Yellow,Yellow,Yellow
3965.jpg,Purple,Purple,Purple,Purple
3966.jpg,Purple,Purple,Purple,Purple
3967.jpg,Purple,Purple,Purple,Purple
3968.jpg,Purple,Purple,Purple,Purple
3969.jpg,Purple,Purple,Purple,Purple
3970.jpg,Purple,Purple,Purple,Purple
3971.jpg,Purple,Purple,Purple,Purple
3972.jpg,Purple,Purple,Purple,Purple
3973.jpg,Purple,Yellow,Purple,Purple
3974.jpg,Purple,Purple,Purple,Purple
3975.jpg,Purple,Purple,Purple,Purple
3976.jpg,Purple,Yellow,Purple,Purple
3977.jpg,Purple,Purple,Purple,Purple
3978.jpg,Purple,Purple,Purple,Purple
3979.jpg,Purple,Purple,Purple,Purple
3980.jpg,Purple,Yellow,Yellow,Yellow
3999.jpg,Green,Green,Green,Green
40.jpg,Green,Yellow,Red,Red
4000.jpg,Green,Green,Green,Green
4012.jpg,Yellow,Yellow,Yellow,Yellow
4034.jpg,Yellow,Yellow,Yellow,Yellow
4035.jpg,Yellow,Yellow,Yellow,Yellow
4036.jpg,Yellow,Yellow,Yellow,Yellow
4051.jpg,Green,Green,Green,Green
4052.jpg,Green,Green,Green,Green
4059.jpg,Purple,Purple,Purple,Purple
4070.jpg,Red,Red,Red,Red
4074.jpg,Red,Green,Red,Red
41.jpg,Green,Green,Green,Green
4119.jpg,Yellow,Red,Yellow,Red
4120.jpg,Yellow,Yellow,Yellow,Yellow
4121.jpg,Yellow,Yellow,Yellow,Yellow
4122.jpg,Yellow,Yellow,Yellow,Yellow
4123.jpg,Yellow,Red,Red,Red
4124.jpg,Yellow,Yellow,Red,Red
4155.jpg,Purple,Purple,Purple,Purple
4156.jpg,Purple,Purple,Purple,Purple
4157.jpg,Purple,Purple,Purple,Purple
4158.jpg,Purple,Purple,Purple,Purple
4170.jpg,Green,Green,Green,Green
4188.jpg,Green,Green,Green,Green
4189.jpg,Green,Green,Green,Green
4198.jpg,Green,Green,Green,Green
4208.jpg,Green,Yellow,Green,Green
4241.jpg,Purple,Green,Green,Green
4242.jpg,Purple,Red,Purple,Purple
4243.jpg,Purple,Purple,Purple,Purple
4244.jpg,Purple,Purple,Purple,Purple
4263.jpg,Green,Green,Green,Green
4264.jpg,Green,Green,Green,Green
4265.jpg,Green,Green,Green,Green
4283.jpg,Green,Green,Green,Green
4284.jpg,Green,Green,Green,Green
4315.jpg,Green,Green,Green,Green
4316.jpg,Green,Green,Green,Green
4317.jpg,Green,Green,Green,Green
4318.jpg,Green,Yellow,Green,Green
4323.jpg,Purple,Green,Green,Green
4326.jpg,Green,Green,Green,Green
4331.jpg,Green,Green,Green,Green
4334.jpg,Green,Green,Green,Green
4337.jpg,Green,Green,Green,Green
4354.jpg,Green,Green,Green,Green
4355.jpg,Green,Green,Green,Green
4358.jpg,Green,Green,Green,Green
4382.jpg,Green,Green,Green,Green
4383.jpg,Green,Red,Red,Red
4384.jpg,Green,Green,Purple,Purple
4394.jpg,Red,Red,Red,Red
4446.jpg,Red,Red,Red,Red
4447.jpg,Red,Red,Red,Red
4448.jpg,Red,Red,Red,Red
4449.jpg,Red,Red,Red,Red
4450.jpg,Red,Red,Red,Red
4451.jpg,Red,Yellow,Red,Red
4452.jpg,Red,Red,Red,Red
4505.jpg,Green,Green,Green,Green
4506.jpg,Green,Green,Green,Green
4507.jpg,Green,Green,Green,Green
4508.jpg,Green,Green,Green,Green
4509.jpg,Green,Green,Green,Green
4510.jpg,Green,Green,Green,Green
4511.jpg,Green,Green,Green,Green
4531.jpg,Yellow,Yellow,Yellow,Yellow
4532.jpg,Yellow,Purple,Yellow,Purple
4533.jpg,Yellow,Yellow,Yellow,Yellow
4571.jpg,Green,Green,Green,Green
4572.jpg,Green,Green,Green,Green
4573.jpg,Green,Green,Green,Green
4574.jpg,Green,Green,Green,Green
4575.jpg,Green,Green,Green,Green
4610.jpg,Red,Red,Red,Red
4611.jpg,Red,Red,Red,Red
4612.jpg,Red,Red,Red,Red
4613.jpg,Red,Red,Red,Red
4614.jpg,Red,Red,Red,Red
469.jpg,Purple,Purple,Purple,Purple
470.jpg,Purple,Purple,Purple,Purple
471.jpg,Purple,Purple,Purple,Purple
4715.jpg,Red,Red,Red,Red
4716.jpg,Red,Yellow,Yellow,Yellow
4717.jpg,Red,Red,Red,Red
4718.jpg,Red,Red,Red,Red
4719.jpg,Red,Red,Red,Red
472.jpg,Purple,Purple,Purple,Purple
4720.jpg,Red,Red,Red,Red
4721.jpg,Red,Red,Red,Red
4722.jpg,Red,Red,Red,Red
4723.jpg,Red,Green,Red,Red
4724.jpg,Red,Red,Red,Red
4725.jpg,Red,Red,Red,Red
4726.jpg,Red,Red,Red,Red
473.jpg,Purple,Purple,Purple,Purple
474.jpg,Purple,Purple,Purple,Purple
4740.jpg,Green,Yellow,Green,Green
4741.jpg,Green,Green,Green,Green
4745.jpg,Green,Green,Green,Green
475.jpg,Purple,Purple,Purple,Purple
476.jpg,Purple,Purple,Purple,Purple
477.jpg,Purple,Purple,Purple,Purple
478.jpg,Purple,Purple,Purple,Purple
479.jpg,Purple,Purple,Purple,Purple
480.jpg,Purple,Purple,Purple,Purple
4809.jpg,Red,Red,Red,Red
481.jpg,Purple,Purple,Purple,Purple
4810.jpg,Red,Red,Red,Red
4811.jpg,Red,Red,Red,Red
4812.jpg,Red,Red,Red,Red
4813.jpg,Red,Red,Red,Red
4814.jpg,Red,Red,Red,Red
4815.jpg,Red,Red,Red,Red
4816.jpg,Red,Red,Red,Red
4950.jpg,Yellow,Yellow,Yellow,Yellow
4951.jpg,Yellow,Yellow,Yellow,Yellow
4952.jpg,Yellow,Yellow,Yellow,Yellow
4953.jpg,Yellow,Yellow,Yellow,Yellow
4954.jpg,Yellow,Yellow,Yellow,Yellow
4955.jpg,Yellow,Yellow,Green,Green
4956.jpg,Yellow,Yellow,Yellow,Yellow
4957.jpg,Yellow,Green,Red,Red
4958.jpg,Yellow,Yellow,Yellow,Yellow
4959.jpg,Yellow,Yellow,Yellow,Yellow
4960.jpg,Yellow,Yellow,Yellow,Yellow
4961.jpg,Yellow,Yellow,Yellow,Yellow
4962.jpg,Yellow,Yellow,Yellow,Yellow
4963.jpg,Yellow,Yellow,Yellow,Yellow
4964.jpg,Yellow,Yellow,Yellow,Yellow
4969.jpg,Yellow,Yellow,Yellow,Yellow
4973.jpg,Yellow,Yellow,Yellow,Yellow
4999.jpg,Green,Green,Green,Green
5000.jpg,Green,Green,Green,Green
5001.jpg,Green,Green,Green,Green
5002.jpg,Green,Green,Green,Green
5029.jpg,Purple,Purple,Purple,Purple
5030.jpg,Purple,Yellow,Yellow,Yellow
5031.jpg,Purple,Purple,Purple,Purple
5032.jpg,Purple,Purple,Purple,Purple
5044.jpg,Green,Purple,Green,Green
5045.jpg,Green,Purple,Green,Green
5168.jpg,Green,Green,Green,Green
5169.jpg,Green,Green,Green,Green
5170.jpg,Green,Green,Green,Green
5171.jpg,Green,Green,Green,Green
5172.jpg,Green,Green,Green,Green
5173.jpg,Green,Green,Green,Green
5174.jpg,Green,Green,Green,Green
5175.jpg,Green,Green,Green,Green
5176.jpg,Green,Green,Green,Green
5177.jpg,Green,Green,Green,Green
5178.jpg,Green,Green,Green,Green
5179.jpg,Green,Green,Green,Green
5180.jpg,Green,Green,Green,Green
5181.jpg,Green,Green,Green,Green
5239.jpg,Green,Green,Green,Green
5240.jpg,Green,Green,Green,Green
5241.jpg,Green,Green,Green,Green
5242.jpg,Green,Green,Green,Green
5243.jpg,Green,Green,Green,Green
5244.jpg,Green,Green,Green,Green
5245.jpg,Green,Green,Green,Green
5246.jpg,Green,Green,Green,Green
5293.jpg,Yellow,Yellow,Yellow,Yellow
5294.jpg,Yellow,Yellow,Yellow,Yellow
5295.jpg,Yellow,Yellow,Yellow,Yellow
5296.jpg,Yellow,Yellow,Yellow,Yellow
5297.jpg,Yellow,Yellow,Yellow,Yellow
5298.jpg,Yellow,Yellow,Yellow,Yellow
5310.jpg,Yellow,Yellow,Yellow,Yellow
5425.jpg,Green,Green,Green,Green
5426.jpg,Green,Green,Green,Green
5427.jpg,Green,Green,Green,Green
5428.jpg,Green,Green,Green,Green
5429.jpg,Green,Green,Green,Green
5430.jpg,Green,Green,Green,Green
5431.jpg,Green,Red,Red,Red
5432.jpg,Green,Green,Green,Green
5433.jpg,Green,Green,Green,Green
5434.jpg,Green,Green,Green,Green
5435.jpg,Green,Green,Red,Red
5436.jpg,Green,Green,Green,Green
5437.jpg,Green,Red,Red,Red
5472.jpg,Green,Green,Green,Green
5473.jpg,Green,Green,Green,Green
5474.jpg,Green,Green,Green,Green
5475.jpg,Green,Green,Green,Green
5476.jpg,Green,Green,Green,Green
5489.jpg,Yellow,Yellow,Yellow,Yellow
5490.jpg,Yellow,Yellow,Purple,Purple
5508.jpg,Green,Green,Green,Green
5509.jpg,Green,Green,Green,Green
5536.jpg,Green,Green,Green,Green
5537.jpg,Green,Green,Green,Green
5538.jpg,Green,Green,Green,Green
5539.jpg,Green,Green,Green,Green
5560.jpg,Purple,Purple,Purple,Purple
5561.jpg,Purple,Purple,Purple,Purple
5562.jpg,Purple,Purple,Purple,Purple
5587.jpg,Yellow,Green,Green,Green
5588.jpg,Yellow,Yellow,Green,Green
5681.jpg,Purple,Purple,Purple,Purple
5682.jpg,Purple,Purple,Purple,Purple
5683.jpg,Purple,Purple,Purple,Purple
5684.jpg,Purple,Purple,Purple,Purple
5685.jpg,Purple,Purple,Purple,Purple
5686.jpg,Purple,Purple,Purple,Purple
5687.jpg,Purple,Purple,Purple,Purple
5688.jpg,Purple,Purple,Purple,Purple
5689.jpg,Purple,Purple,Purple,Purple
5690.jpg,Purple,Purple,Purple,Purple
5691.jpg,Purple,Purple,Purple,Purple
5738.jpg,Green,Green,Green,Green
5739.jpg,Green,Green,Green,Green
5740.jpg,Green,Green,Green,Green
5741.jpg,Green,Green,Green,Green
5742.jpg,Green,Green,Green,Green
5743.jpg,Green,Red,Green,Green
5744.jpg,Green,Green,Green,Green
5777.jpg,Green,Green,Green,Green
5778.jpg,Green,Green,Green,Green
5779.jpg,Green,Green,Green,Green
5780.jpg,Green,Yellow,Green,Green
5795.jpg,Green,Green,Green,Green
5796.jpg,Green,Green,Green,Green
5801.jpg,Green,Green,Green,Green
5806.jpg,Yellow,Green,Green,Green
5819.jpg,Green,Green,Green,Green
5820.jpg,Green,Green,Green,Green
5826.jpg,Yellow,Yellow,Green,Green
5978.jpg,Purple,Purple,Purple,Purple
5979.jpg,Purple,Purple,Purple,Purple
5980.jpg,Purple,Purple,Purple,Purple
5981.jpg,Purple,Purple,Purple,Purple
5982.jpg,Purple,Purple,Purple,Purple
5983.jpg,Purple,Purple,Purple,Purple
5984.jpg,Purple,Purple,Purple,Purple
5985.jpg,Purple,Purple,Purple,Purple
5986.jpg,Purple,Purple,Purple,Purple
5987.jpg,Purple,Purple,Purple,Purple
5988.jpg,Purple,Purple,Purple,Purple
5989.jpg,Purple,Purple,Purple,Purple
5990.jpg,Purple,Purple,Purple,Purple
5991.jpg,Purple,Purple,Purple,Purple
5992.jpg,Purple,Purple,Purple,Purple
5993.jpg,Purple,Purple,Purple,Purple
5994.jpg,Purple,Purple,Purple,Purple
5995.jpg,Purple,Purple,Purple,Purple
6011.jpg,Green,Green,Green,Green
6012.jpg,Green,Green,Green,Green
6034.jpg,Green,Green,Green,Green
6035.jpg,Green,Green,Green,Green
6036.jpg,Green,Green,Green,Green
6143.jpg,Green,Green,Green,Green
6144.jpg,Green,Green,Green,Green
6145.jpg,Green,Green,Green,Green
6146.jpg,Green,Green,Green,Green
6147.jpg,Green,Green,Green,Green
6148.jpg,Green,Green,Green,Green
6149.jpg,Green,Red,Green,Green
6150.jpg,Green,Green,Green,Green
6151.jpg,Green,Green,Purple,Purple
6152.jpg,Green,Green,Purple,Purple
6153.jpg,Green,Green,Green,Green
6154.jpg,Green,Red,Red,Red
6155.jpg,Green,Green,Green,Green
6239.jpg,Yellow,Yellow,Yellow,Yellow
6240.jpg,Yellow,Yellow,Yellow,Yellow
6241.jpg,Yellow,Green,Yellow,Green
6242.jpg,Yellow,Yellow,Yellow,Yellow
6243.jpg,Yellow,Green,Green,Green
6244.jpg,Yellow,Yellow,Yellow,Yellow
6245.jpg,Yellow,Yellow,Yellow,Yellow
6246.jpg,Yellow,Green,Green,Green
6247.jpg,Yellow,Green,Green,Green
6286.jpg,Red,Red,Red,Red
6287.jpg,Red,Red,Red,Red
6288.jpg,Red,Red,Red,Red
6289.jpg,Red,Red,Red,Red
6290.jpg,Red,Red,Red,Red
6300.jpg,Yellow,Yellow,Yellow,Yellow
6312.jpg,Purple,Purple,Purple,Purple
634.jpg,Purple,Purple,Purple,Purple
635.jpg,Purple,Purple,Purple,Purple
636.jpg,Purple,Purple,Purple,Purple
637.jpg,Purple,Purple,Purple,Purple
638.jpg,Purple,Purple,Purple,Purple
639.jpg,Purple,Purple,Purple,Purple
640.jpg,Purple,Purple,Purple,Purple
641.jpg,Purple,Purple,Purple,Purple
6415.jpg,Yellow,Yellow,Yellow,Yellow
6416.jpg,Yellow,Yellow,Yellow,Yellow
6417.jpg,Yellow,Yellow,Yellow,Yellow
6418.jpg,Yellow,Yellow,Yellow,Yellow
6419.jpg,Yellow,Yellow,Yellow,Yellow
642.jpg,Purple,Purple,Purple,Purple
6420.jpg,Yellow,Yellow,Yellow,Yellow
6421.jpg,Yellow,Yellow,Yellow,Yellow
6422.jpg,Yellow,Yellow,Yellow,Yellow
6423.jpg,Yellow,Yellow,Yellow,Yellow
6424.jpg,Yellow,Yellow,Yellow,Yellow
6425.jpg,Yellow,Yellow,Yellow,Yellow
6426.jpg,Yellow,Yellow,Yellow,Yellow
643.jpg,Purple,Purple,Purple,Purple
6439.jpg,Yellow,Yellow,Yellow,Yellow
644.jpg,Purple,Purple,Purple,Purple
6440.jpg,Yellow,Yellow,Yellow,Yellow
645.jpg,Purple,Purple,Purple,Purple
646.jpg,Purple,Purple,Purple,Purple
647.jpg,Purple,Purple,Purple,Purple
648.jpg,Purple,Purple,Purple,Purple
649.jpg,Purple,Purple,Purple,Purple
6497.jpg,Yellow,Yellow,Yellow,Yellow
6498.jpg,Yellow,Yellow,Yellow,Yellow
6499.jpg,Yellow,Yellow,Yellow,Yellow
650.jpg,Purple,Purple,Purple,Purple
6500.jpg,Yellow,Yellow,Yellow,Yellow
6501.jpg,Yellow,Yellow,Yellow,Yellow
6502.jpg,Yellow,Yellow,Yellow,Yellow
6503.jpg,Yellow,Yellow,Yellow,Yellow
6509.jpg,Yellow,Yellow,Yellow,Yellow
651.jpg,Purple,Purple,Purple,Purple
6532.jpg,Yellow,Yellow,Green,Green
6533.jpg,Yellow,Yellow,Yellow,Yellow
6534.jpg,Yellow,Yellow,Yellow,Yellow
6539.jpg,Yellow,Yellow,Yellow,Yellow
6580.jpg,Yellow,Yellow,Yellow,Yellow
6581.jpg,Yellow,Yellow,Yellow,Yellow
6582.jpg,Yellow,Yellow,Yellow,Yellow
6583.jpg,Yellow,Yellow,Yellow,Yellow
6584.jpg,Yellow,Yellow,Yellow,Yellow
6585.jpg,Yellow,Yellow,Yellow,Yellow
6591.jpg,Yellow,Yellow,Yellow,Yellow
6668.jpg,Yellow,Yellow,Yellow,Yellow
6669.jpg,Yellow,Yellow,Yellow,Yellow
6670.jpg,Yellow,Yellow,Yellow,Yellow
6671.jpg,Yellow,Yellow,Yellow,Yellow
6672.jpg,Yellow,Yellow,Yellow,Yellow
6673.jpg,Yellow,Yellow,Yellow,Yellow
6674.jpg,Yellow,Yellow,Yellow,Yellow
6675.jpg,Yellow,Yellow,Yellow,Yellow
6676.jpg,Yellow,Yellow,Yellow,Yellow
6677.jpg,Yellow,Yellow,Yellow,Yellow
6690.jpg,Yellow,Yellow,Yellow,Yellow
6691.jpg,Yellow,Yellow,Yellow,Yellow
6709.jpg,Yellow,Yellow,Yellow,Yellow
6710.jpg,Yellow,Yellow,Yellow,Yellow
6723.jpg,Yellow,Yellow,Yellow,Yellow
6824.jpg,Yellow,Yellow,Yellow,Yellow
6825.jpg,Yellow,Yellow,Yellow,Yellow
6826.jpg,Yellow,Green,Green,Green
6827.jpg,Yellow,Yellow,Green,Green
